CRIME HEAD,2013
Murder,33201
Attempt to Commit Murder,35417
C H Not amounting to Murder,3380
Rape,33707
Kidnapping & Abduction,65461
Dacoity,4539
Preparation & Assembly for Dacoity,3159
Robbery,31927
Burglary,104401
Theft,372622
Riots,72126
Criminal Breach of Trust,19627
Cheating,107330
Counterfeiting,2349
Arson,9357
Hurt/Grevious Hurt,334669
Dowry Deaths,8083
Assault on women with intent to outrage her modesty,70739
Insult to Modesty of Women,12589
Cruelty by Husband or his Relatives,118866
Importation of girls from Foreign Country,31
Causing death by negligence,111517
Other IPC Crimes,1092625
Total IPC Crimes,2647722
